Practice Name,Veterinarian Name(s),Specialties,Address,City,State,ZIP Code,Phone,Email,Website,Certification Bodies,Species Treated,Practice Description,Year Established,Telehealth Available,Featured Listing,Latitude,Longitude,Slug
Zen Dog Veterinary Care PLLC,"Dr. Ray Spragley DVM, CVA, CCRT",Acupuncture|Physical Therapy/Rehabilitation|Herbal Medicine,,New York,NY,10001,(917) 725-2755,,https://zendogvet.net,IVAS,Dogs|Cats,Integrative veterinary house calls in NYC with acupuncture and rehab.,,TRUE,FALSE,,,zen-dog-veterinary-care
Atrium Animal Hospital,Dr. Kim Hombs,Acupuncture|Herbal Medicine,,Charlotte,NC,28226,(704) 542-2000,,https://atriumanimalhospital.com,AHVMA,Dogs|Cats,Full-service veterinary hospital with holistic options in Charlotte.,,FALSE,FALSE,,,atrium-animal-hospital
Shearer Pet Health Services,Dr. Tamara Shearer,Acupuncture|Herbal Medicine|Physical Therapy/Rehabilitation,,Sylva,NC,28779,(828) 586-3300,,https://shearerpethealth.com,Chi Institute,Dogs|Cats,Integrative pet health services in western North Carolina.,,FALSE,FALSE,,,shearer-pet-health-services
Holistic Vet Practice,Dr. Pamela Fisher,Acupuncture|Herbal Medicine|Homeopathy|Nutritional Therapy,,North Canton,OH,44720,(330) 266-2500,,https://holisticvetpractice.com,AHVMA,Dogs|Cats,Comprehensive holistic veterinary care.,,FALSE,FALSE,,,holistic-vet-practice
Lifetime Pet Wellness Center,"Dr. Jim Carlson DVM, CVA, CVSMT",Acupuncture|Chiropractic,454 Lazelle Rd.,Columbus,OH,43240,(614) 888-2100,,https://lifetimepetwellness.com,IVAS|AVCA,Dogs|Cats,Veterinary acupuncture and chiropractic care.,,FALSE,FALSE,,,lifetime-pet-wellness-center
Evendale-Blue Ash Pet Hospital,"Dr. Jo Goodman DVM, CVA",Acupuncture|Herbal Medicine,,Cincinnati,OH,45241,(513) 563-0410,,,IVAS,Dogs|Cats,Full-service veterinary care with acupuncture.,,FALSE,FALSE,,,evendale-blue-ash-pet-hospital
Animal Acupuncture,Dr. Heather Owen,Acupuncture,,Tulsa,OK,74135,(918) 809-8387,,https://animalacupuncturellc.com,IVAS,Dogs|Cats|Horses,Specialized veterinary acupuncture services.,,FALSE,FALSE,,,animal-acupuncture-tulsa
Best Friends Animal Clinic,Dr. Brad Roach,Acupuncture|Herbal Medicine,,Shawnee,OK,74801,(405) 273-5617,,https://bestfriendsanimalclinic.vet,AHVMA,Dogs|Cats,Holistic veterinary care in central Oklahoma.,,FALSE,FALSE,,,best-friends-animal-clinic
Treat! Integrative Veterinary Healing,"Dr. Amy Stack Baden DVM, CVA",Acupuncture|Herbal Medicine|Nutritional Therapy,,Portland,OR,97214,(503) 546-0600,,https://treatpdx.com,Chi Institute,Dogs|Cats,Integrative veterinary healing in Portland.,,FALSE,FALSE,,,treat-integrative-veterinary-healing
Animal Hospital of Mt. Pocono,Dr. Joseph Valese,Acupuncture|Herbal Medicine,,Mount Pocono,PA,18344,(570) 839-8116,,https://poconopetvet.com,AHVMA,Dogs|Cats,Full-service veterinary hospital with holistic options.,,FALSE,FALSE,,,animal-hospital-of-mt-pocono
Ellwood Animal Hospital,Dr. Cynthia Maro,Acupuncture|Herbal Medicine|Chiropractic,,Ellwood City,PA,16117,(724) 758-8882,,https://ellwoodvet.com,AHVMA|AVCA,Dogs|Cats,Integrative veterinary care with acupuncture and chiropractic.,,FALSE,FALSE,,,ellwood-animal-hospital
Kanyon's Golden Veterinary Care,Dr. Kristine Cyr,Acupuncture|Herbal Medicine,,Brodheadsville,PA,18322,(570) 402-0572,,https://kanyonsgold.com,AHVMA,Dogs|Cats,Holistic veterinary care in the Poconos.,,FALSE,FALSE,,,kanyons-golden-veterinary-care
Meadowbrook Animal Hospital,Dr. Suzanne Walski,Acupuncture|Herbal Medicine,,Ottsville,PA,18942,(610) 847-2776,,https://suzannewalskidvm.com,AHVMA,Dogs|Cats|Horses,Holistic veterinary care in Bucks County.,,FALSE,FALSE,,,meadowbrook-animal-hospital
Acu Pet Wellness,Dr. Mandy DuBose,Acupuncture|Herbal Medicine,648 Pintail Drive,Aiken,SC,29803,(803) 480-0604,,https://acupetwellness.com,Chi Institute,Dogs|Cats|Horses,Veterinary acupuncture and wellness in Aiken.,,FALSE,FALSE,,,acu-pet-wellness
Claws and Paws Mobile Vet Services,Dr. Shannon Dawkins,Acupuncture|Herbal Medicine,,Redbank,TN,37415,(423) 779-7467,,https://mobilevetchattanooga.com,AHVMA,Dogs|Cats,Mobile holistic veterinary services in Chattanooga.,,TRUE,FALSE,,,claws-and-paws-mobile-vet-services
East Ridge Animal Hospital,Dr. Karen Knarr,Acupuncture|Herbal Medicine,,Chattanooga,TN,37412,(423) 622-2209,,https://vetyourpets.com,AHVMA,Dogs|Cats,Full-service veterinary care with holistic options.,,FALSE,FALSE,,,east-ridge-animal-hospital
Natchez Trace Veterinary Services - Franklin,Dr. Marc Smith,Acupuncture|Herbal Medicine|Traditional Chinese Veterinary Medicine (TCVM),3813 New Hwy 96W,Franklin,TN,37064,(615) 790-8100,,https://franklintnvet.com,Chi Institute,Dogs|Cats,TCVM-focused veterinary practice.,,FALSE,FALSE,,,natchez-trace-veterinary-services-franklin
Natchez Trace Veterinary Services - Nashville,Dr. Marc Smith,Acupuncture|Herbal Medicine|Traditional Chinese Veterinary Medicine (TCVM),6614 Hwy 100,Nashville,TN,37205,(615) 750-2248,,https://nashvilletnvet.com,Chi Institute,Dogs|Cats,TCVM-focused veterinary practice serving Nashville.,,TRUE,FALSE,,,natchez-trace-veterinary-services-nashville
White Oak Animal Hospital,Dr. Casey Damron,Acupuncture|Herbal Medicine|Ozone Therapy,1341 Fairview Blvd.,Fairview,TN,37062,(615) 799-7981,,https://whiteoakvet.com,Chi Institute,Dogs|Cats|Horses,Integrative veterinary care with ozone therapy.,,FALSE,FALSE,,,white-oak-animal-hospital
Integrative Veterinary Wellness,"Dr. Jennifer Smallwood DVM, CVA, CCRP, CVFT",Acupuncture|Nutritional Therapy|Physical Therapy/Rehabilitation|Traditional Chinese Veterinary Medicine (TCVM),2701 Custer Pkwy Suite 803,Richardson,TX,75080,(469) 250-4023,,https://integrativeveterinarywellness.com,Chi Institute,Dogs|Cats,TCVM food therapy and rehabilitation services.,,FALSE,FALSE,,,integrative-veterinary-wellness-richardson
Animal Wellness Center,Dr. Hillary Cook,Acupuncture|Herbal Medicine,,Crozet,VA,22932,(434) 823-8883,,https://crozetanimalwellnesscenter.com,AHVMA,Dogs|Cats,Holistic veterinary wellness in central Virginia.,,FALSE,FALSE,,,animal-wellness-center-crozet
Joy-Chi Veterinary Acupuncture PC,"Dr. Angela Bross DVM, MBA",Acupuncture,P.O. Box 3705,Hampton,VA,23663,(757) 771-9480,VetReceptionist@Bross.com,https://joychiveterinaryacupuncture.com,IVAS,Dogs|Cats|Horses,Specialized veterinary acupuncture services.,,FALSE,FALSE,,,joy-chi-veterinary-acupuncture
Braun Veterinary Housecalls,Dr. Jana Braun DVM,Acupuncture|Herbal Medicine|Laser Therapy,,Seattle,WA,98115,(206) 719-8696,,https://braunvet.com,Chi Institute,Dogs|Cats,Mobile veterinary acupuncture and laser therapy.,,TRUE,FALSE,,,braun-veterinary-housecalls
AnShen Holistic Vet,"Dr. Jody Bearman DVM, CVSMT, CVA, CVCH",Acupuncture|Chiropractic|Herbal Medicine|Homeopathy,,Madison,WI,53717,(608) 333-7811,info@anshenvet.com,https://anshenvet.com,IVAS|AVCA|Chi Institute,Dogs|Cats,Comprehensive holistic veterinary care with multiple modalities.,,FALSE,FALSE,,,anshen-holistic-vet
