Practice Name,Veterinarian Name(s),Specialties,Address,City,State,ZIP Code,Phone,Email,Website,Certification Bodies,Species Treated,Practice Description,Year Established,Telehealth Available,Featured Listing,Latitude,Longitude,Slug,Image URL,Logo Image URL,Google Rating,Google Reviews,Google Place ID,Google Maps URL
Valley Animal Hospital,"Dr. Bruce Henderson, Dr. Jamie Thompson, Dr. Rebecca Mastroieni",Nutritional Therapy | Physical Therapy/Rehabilitation | Laser Therapy,1171 Valley Rd Suite A,Montclair,NJ,7043,19735095225,vahresults@optonline.net,https://www.valleyofthevets.com,,"Dogs, Cats, Horses, Exotics","Valley Animal Hospital in Montclair, NJ treats dogs, cats, horses, and exotic animals, offering nutritional therapy, physical therapy and rehabilitation, and laser therapy. The practice is led by Dr. Bruce Henderson, who has nearly 40 years of veterinary experience, alongside associate veterinarians Dr. Jamie Thompson and Dr. Rebecca Mastroieni, supported by two rehabilitation technicians specializing in post-surgery recovery. The hospital provides comprehensive services including surgery, dental work, wellness exams, vaccinations, and boarding, and emphasizes thorough examination and clear communication about treatment plans with pet owners.",,,,40.8616096,-74.1942338,valley-animal-hospital-montclair-new-jersey,,,4.7,412,ChIJNUYSfrX_wokRPMvgQJqFuc8,https://www.google.com/maps/search/?api=1&query=Valley%20Animal%20Hospital&query_place_id=ChIJNUYSfrX_wokRPMvgQJqFuc8
Cascade Veterinary Clinic,"Dr. Keith Ruble, Dr. Paul Bio",Nutritional Therapy | Laser Therapy,15 Veterinary Way,Garden Valley,ID,83622,12084623064,cvcruble@yahoo.com,https://www.cascadevetclinicidaho.com,,"Dogs, Cats, Horses","Cascade Veterinary Clinic has served the Cascade community for over two decades under the ownership of Dr. Ruble since 1997. The practice offers laser therapy, nutritional guidance, dental procedures, spays and neuters, wellness exams, and preventive care for dogs and cats, with particular attention to puppy and kitten health as well as age-related conditions in senior pets such as arthritis, dental disease, and cognitive dysfunction. The clinic provides joint supplements, prescription arthritis medications, and modified nutrition and exercise plans to support pet comfort and mobility.",,,,44.1468419,-115.9684389,cascade-veterinary-clinic-garden-valley-idaho,,https://cascadevetclinicidaho.com/wp-content/uploads/2021/08/cascadevet-logo-header.png,4.9,62,ChIJAQAAAABLr1QRLME5X-2AlrA,https://www.google.com/maps/search/?api=1&query=Cascade%20Veterinary%20Clinic&query_place_id=ChIJAQAAAABLr1QRLME5X-2AlrA
"Copper’s Integrative Veterinary Care, LLC","Dr Cubelo, Dr Sharon Cubelo, Dr. Cubelo, Dr. Sharon, Dr. Sharon Cubelo",Acupuncture | Nutritional Therapy | Physical Therapy/Rehabilitation | Chiropractic | Herbal Medicine | Traditional Chinese Veterinary Medicine,1608 Pleasure House Road,Virginia Beach,VA,23455,(757) 384-0581,info@coppersintegrativevetcare.com,https://coppersintegrativevetcare.com/,"CVA, CVFT","Dogs, Cats, Horses","Copper's Integrative Veterinary Care, led by Dr. Sharon Cubelo, integrates acupuncture, chiropractic, physical rehabilitation, Chinese herbal medicine, nutritional therapy, and therapeutic massage to treat dogs, cats, and horses. Dr. Cubelo holds certifications in veterinary acupuncture, food therapy, rehabilitation, and medical manipulation, with over 5 years of focused study in integrative therapies. The practice addresses conditions including arthritis, kidney disease, pain management, and functional mobility limitations, drawing on the founder's personal experience using these modalities to improve quality of life for aging and injured animals.",,,,36.8951951,-76.1401926,coppers-integrative-veterinary-care-llc-virginia-beach-va,,https://coppersintegrativevetcare.com/wp-content/uploads/2023/07/coppers-integrative-vet-logo-horizontal-1.png,5,18,ChIJcX_kzeR2LEwRg03MC4tLfTc,https://www.google.com/maps/search/?api=1&query=Copper%E2%80%99s%20Integrative%20Veterinary%20Care%2C%20LLC&query_place_id=ChIJcX_kzeR2LEwRg03MC4tLfTc
Animal Medical Centers of Loudoun - Brambleton,Dr Myzie,Acupuncture | Herbal Medicine | Homeopathy | Laser Therapy,42385 Ryan Rd Suite 112,Ashburn,VA,20148,(571) 517-1648,johnklimavicz@amcmp.com,https://www.loudounvet.com,"AHVMA, DVM, IVAS","Dogs, Cats, Horses, Exotics","Animal Medical Centers of Loudoun - Brambleton in Ashburn, VA offers acupuncture, herbal medicine, homeopathy, and laser therapy for dogs, cats, horses, and exotic animals. The practice is affiliated with the American Holistic Veterinary Medical Association and the International Veterinary Acupuncture Society. Dr. Myzie, a veterinarian on the team, brings a calm and kind approach to patient care that is appreciated by both animals and colleagues.",,,,38.9862394,-77.5370644,animal-medical-centers-of-loudoun-brambleton-ashburn-va,,https://loudounvet.com/wp-content/uploads/2024/11/AMCL_Logo_Final.png,4.8,99,ChIJNyu29os_tokRoydvOeyk46I,https://www.google.com/maps/search/?api=1&query=Animal%20Medical%20Centers%20of%20Loudoun%20-%20Brambleton&query_place_id=ChIJNyu29os_tokRoydvOeyk46I
All Creatures Acupuncture,"Dr. Michael Munzer, DVM, CVA, CVCP",Acupuncture|Traditional Chinese Veterinary Medicine | Chiropractic|Nutritional Therapy,,Bucksport,ME,4416,,info@allcreaturesholistic.com,https://www.allcreaturesholistic.com,IVAS|Chi Institute|AVCA,Dogs|Cats|Horses,"All Creatures Acupuncture in Bucksport, ME offers acupuncture, chiropractic care, Traditional Chinese herbal medicine, and nutritional therapy for dogs, cats, and horses, working alongside conventional veterinary care to minimize pharmaceutical use. Dr. Michael Munzer, a licensed veterinarian trained in Traditional Chinese Veterinary Medicine through the Chi Institute and certified by the International Veterinary Acupuncture Society and International Veterinary Chiropractic Association, conducts comprehensive evaluations combining Western and Traditional Chinese approaches. The practice treats musculoskeletal conditions like arthritis and hip dysplasia, neurological disorders including seizures and paralysis, gastrointestinal issues, skin conditions, endocrine diseases, and organ dysfunction, among other chronic conditions. Wellness consultations help clients navigate treatment options and establish preventive health protocols for their pets.",,,,,,all-creatures-acupuncture,,"https://static.wixstatic.com/media/248055_7b50f6a21be04d71b332d645663280b1.gif/v1/fit/w_2500,h_1330,al_c/248055_7b50f6a21be04d71b332d645663280b1.gif",4.8,10,ChIJwZtna7xcrkwRelcVWkx7dd8,https://www.google.com/maps/search/?api=1&query=All%20Creatures%20Acupuncture%20Holistic%20Veterinary%20Therapies&query_place_id=ChIJwZtna7xcrkwRelcVWkx7dd8
Downtown St. Pete Vet Clinic,"Dr. Chris Learning, Dr. Christopher Learning",Physical Therapy/Rehabilitation,111 2nd Ave NE Suite 113,St. Petersburg,FL,33701,17277557387,vetteam@dtsp.vet,https://stpetedowntownvet.com,DVM,"Dogs, Cats, Exotics","Downtown St. Pete Vet Clinic is a full-service veterinary hospital in St. Petersburg offering preventive care and wellness services for dogs, cats, and exotic pets. Dr. Christopher Learning leads the practice and has experience treating multiple species. The clinic provides physical examination services for disease detection and prevention, and recently expanded from a wellness-focused practice to offer comprehensive veterinary services.",,,,27.7742295,-82.6335143,downtown-st-pete-vet-clinic-st-petersburg-florida,,,4.6,90,ChIJ3WFtv53hwogRuvwP18x_xVg,https://www.google.com/maps/search/?api=1&query=Downtown%20St.%20Pete%20Vet%20Clinic&query_place_id=ChIJ3WFtv53hwogRuvwP18x_xVg
Briar Patch Veterinary Hospital,Dr. Amy Morgenstern,Acupuncture | Nutritional Therapy,706 Elmira Rd,Ithaca,NY,14850,(607) 272-2828,carolyn@briarpatchvet.com,https://www.briarpatchvet.com,DVM,"Dogs, Cats, Exotics","Briar Patch Veterinary Hospital in Ithaca has provided comprehensive veterinary care since 1986 and holds AAHA accreditation. The practice treats dogs, cats, and exotic species, offering acupuncture and nutritional therapy alongside conventional services including emergency care, dental work, diagnostic imaging, and cancer treatment. As a certified Cat Friendly Practice, the hospital emphasizes preventive wellness care and addresses conditions across all life stages, with a philosophy centered on treating pets as family members.",1986,,,42.4083061,-76.5426101,briar-patch-veterinary-hospital-ithaca-ny,,https://www.briarpatchvet.com/sites/default/files/theme/logo_0.png,4.7,154,ChIJXS_V_9GA0IkRz5jv4Mf3eaw,https://www.google.com/maps/search/?api=1&query=Briar%20Patch%20Veterinary%20Hospital&query_place_id=ChIJXS_V_9GA0IkRz5jv4Mf3eaw
Evolution Veterinary Specialty and Emergency Hospital,"Dr. Geri Lake-Bakaar, Dr. Tomoko Jensen-Otsu",Nutritional Therapy,34 Van Gordon St Ste #160,Lakewood,CO,80228,17205107707,info@evolutionvet.com,http://www.evolutionvet.com,DVM,"Dogs, Cats","Evolution Veterinary Specialty and Emergency Hospital is a holistic and integrative veterinary practice in Lakewood, CO. The practice treats dogs and cats. Holistic and integrative services include Nutritional Therapy. The practice has served the area since 2019. It holds a 4.1-star rating across 938 Google reviews.",2019,,,39.7154001,-105.1366676,evolution-veterinary-specialty-and-emergency-hospital-lakewood-colorado,,http://www.evolutionvet.com/wp-content/uploads/2020/08/updated-logo-1-2.png,4.1,938,ChIJ5YW-ReaDa4cRLsLhqXW3OXE,https://www.google.com/maps/search/?api=1&query=Evolution%20Veterinary%20Specialty%20and%20Emergency%20Hospital&query_place_id=ChIJ5YW-ReaDa4cRLsLhqXW3OXE
Avets,,Acupuncture,2674 Monroeville Blvd,Monroeville,PA,15146,14123734200,,https://www.avets.com,"CVA, DVM, VMD","Cats, Exotics","Avets is a 24-hour emergency and specialty veterinary center in Monroeville, PA that treats cats and exotic animals. The practice offers acupuncture services and employs certified veterinary acupuncturists (CVA) alongside board-certified specialists in emergency and critical care. Operating for over 25 years, Avets has evolved from an after-hours emergency facility into a VECCS Level 1 designated trauma center with advanced surgical and imaging capabilities.",,,,40.4343794,-79.782608,avets-monroeville-pennsylvania,,https://www.avets.com/wp-content/uploads/2021/03/Avets_logo_color_white.svg,3.6,1759,ChIJxWF8_RnqNIgRJBzZvs1EUrs,https://www.google.com/maps/search/?api=1&query=Avets&query_place_id=ChIJxWF8_RnqNIgRJBzZvs1EUrs
Howdershell Animal Clinic,"Dr. Anderson, Dr. Arnsmeyer, Dr. Barker, Dr. Graye, Dr. Nick Toepke, Dr. Thies, Dr. Vandas, Dr. Woodworth",Nutritional Therapy,573 Howdershell Rd,Florissant,MO,63031,13148383575,petcare@howdershellvets.com,https://www.howdershellvets.com,DVM,"Dogs, Cats, Horses, Exotics","Howdershell Animal Clinic has served the Florissant area since 1981, treating dogs, cats, birds, horses, and exotic animals. The practice offers nutritional therapy alongside conventional services including preventative care, dentistry, laser surgery, dermatology, breeding consultation, and senior wellness programs. Dr. Nick Toepke and the clinic's licensed veterinarians emphasize preventative medicine and nutrition-based health management as core components of their approach to animal care.",,,,38.8042285,-90.3641518,howdershell-animal-clinic-florissant-missouri,,https://cdcssl.ibsrv.net/ibimg/smb/225x81_80/webmgr/0p/u/q/18_logo.png.webp?ca579f1312d96fc12ff8505e6ad09139,4.7,561,ChIJsRAiQUQ334cRLKU6ep09pks,https://www.google.com/maps/search/?api=1&query=Howdershell%20Animal%20Clinic&query_place_id=ChIJsRAiQUQ334cRLKU6ep09pks
Califon Animal Hospital,,Nutritional Therapy,421 County Rd 513,Califon,NJ,7830,19088327523,info@califonanimalhospital.com,https://califonanimalhospital.com,DVM,"Cats, Horses","Califon Animal Hospital is an independently owned mixed-animal practice in northwest New Jersey treating both small and large animals, including cats and horses. The practice is led by Dr. Jeffrey Salatiello, Dr. Mary Beth Hamorski, Dr. Tempe Salatiello, and Dr. Ruth Martin, who collectively bring more than 85 years of veterinary experience. The hospital emphasizes nutritional therapy as part of its approach to animal health and focuses on preventive care through client education and collaboration with other veterinary professionals. The practice operates on a mission of delivering compassionate, evidence-based care while maintaining clear communication with clients about treatment options and medical outcomes.",,,,40.7242283,-74.8477902,califon-animal-hospital-califon-new-jersey,,https://web6q.lifelearn.com/califonah/wp-content/uploads/sites/745/2018/05/Califon_Animal_LOGO-large.jpg,4.8,81,ChIJnQwArRmPw4kRvtEZG-SL77Q,https://www.google.com/maps/search/?api=1&query=Califon%20Animal%20Hospital&query_place_id=ChIJnQwArRmPw4kRvtEZG-SL77Q
3H Equine Hospital and Mobile Veterinary Services,"Dr. Dr Fernando, Dr. Fernando Cardenas, Dr. Kimberly Meadows, Dr. Lydia Cassidy, Dr. Simone Koster",Acupuncture | Physical Therapy/Rehabilitation | Chiropractic,464 Southern Pecan Lane,New Hill,NC,27562,19193631686,office@3hvet.com,http://3hvet.com,DVM,"Cats, Horses","3H Equine Hospital and Mobile Veterinary Services, founded in 1997 by Dr. Fernando and Meredith Cardenas, provides equine care across five North Carolina counties with an on-site rehabilitation center. The practice offers acupuncture, physical therapy and rehabilitation, and chiropractic services, with a focus on lameness diagnosis and treatment, reproductive and breeding care, and emergency services available 24 hours daily. The veterinary staff are lifelong horse owners who emphasize a compassionate, progressive approach to equine health and well-being.",,,,35.70387,-78.9616467,3h-equine-hospital-and-mobile-veterinary-services-new-hill-north-carolina,,https://res.cloudinary.com/dnmrgvjdm/image/upload/v1771558479/3H_Equine_qgltnj.png,4.8,116,ChIJPSnGDU-UrIkRKoPpc8w9gko,https://www.google.com/maps/search/?api=1&query=3H%20Equine%20Hospital%20and%20Mobile%20Veterinary%20Services&query_place_id=ChIJPSnGDU-UrIkRKoPpc8w9gko
Clinton Hill Animal Clinic,"Dr. Dentler, Dr. Dr Dendtler, Dr. Pamela Dendtler, Dr. Pamella Dendtler",Nutritional Therapy,476 Myrtle Ave,Brooklyn,NY,11205,17186233999,sjwedderburn@gmail.com,http://www.vetinbrooklyn.com,,"Dogs, Cats, Horses, Exotics","Clinton Hill Animal Clinic is a holistic and integrative veterinary practice in Brooklyn, NY. The practice treats dogs, cats, horses, and exotics. Holistic and integrative services include Nutritional Therapy. It holds a 3.5-star rating across 113 Google reviews.",,,,40.6932381,-73.9662807,clinton-hill-animal-clinic-brooklyn-new-york,,https://cdcssl.ibsrv.net/ibimg/smb/300x250_80/webmgr/0p/9/d/63055e32bcddc_newlogo785.png.webp?56a6cb99ea1d4524f9eda14a7c367c37,3.5,113,ChIJaULokrlbwokRE9DQHTupLW4,https://www.google.com/maps/search/?api=1&query=Clinton%20Hill%20Animal%20Clinic&query_place_id=ChIJaULokrlbwokRE9DQHTupLW4
Braescroft Animal Clinic,Dr. Caroline Graham,Nutritional Therapy,8510 Hillcroft Ave,Houston,TX,77096,(713) 721-8081,braescroftac@sbcglobal.net,http://www.braescroftanimalclinic.com,DVM,"Dogs, Cats, Exotics","Braescroft Animal Clinic in Houston treats dogs, cats, and exotic pets including birds, reptiles, and pocket pets. The practice is led by Dr. Lisa Lowenstein, DVM, a Texas A&M graduate who has served the clinic since 2005 with a focus on exotic animal medicine, and Dr. Everett Lowenstein, DVM, who specializes in soft tissue and orthopedic surgery and behavioral management. The clinic integrates nutritional therapy into its approach and provides preventative care, advanced surgery, and wellness services tailored to each animal's individual needs.",2011,,,29.6865924,-95.4928776,braescroft-animal-clinic-houston-tx,,https://braescroftanimalclinic.com/wp-content/uploads/2022/06/BraescroftAC_002.jpg,4.8,292,ChIJJQIdIArCQIYRZlyMRpIIAVI,https://www.google.com/maps/search/?api=1&query=Braescroft%20Animal%20Clinic&query_place_id=ChIJJQIdIArCQIYRZlyMRpIIAVI
Old Lyme Veterinary Hospital,,Acupuncture,1 Davis Rd W,Old Lyme,CT,6371,18604348387,,http://www.oldlymevets.com,,"Dogs, Cats, Horses, Exotics","Old Lyme Veterinary Hospital is a holistic and integrative veterinary practice in Old Lyme, CT. The practice treats dogs, cats, horses, and exotics. Holistic and integrative services include Acupuncture. It holds a 4.7-star rating across 109 Google reviews.",,,,41.3245438,-72.3353919,old-lyme-veterinary-hospital-old-lyme-connecticut,,,4.7,109,ChIJdeJMIKki5okRrrW2YwV9kn4,https://www.google.com/maps/search/?api=1&query=Old%20Lyme%20Veterinary%20Hospital&query_place_id=ChIJdeJMIKki5okRrrW2YwV9kn4
VegasPet Animal Hospital,"Dr. Dr Wagner, Dr. Nichole Wagner",Nutritional Therapy,901 S Rancho Dr #16,Las Vegas,NV,89106,17029413336,,https://www.vegaspet.vet,,"Dogs, Cats","VegasPet Animal Hospital is Nevada's first Fear Free certified veterinary practice, treating dogs and cats in Las Vegas. Dr. Nichole Wagner, a Colorado State University DVM graduate practicing locally since 2006, leads the hospital as Medical Director and co-owner, with credentials in both Fear Free and low-stress handling certification. The practice offers wellness and preventive care, diagnostics, surgery, dentistry, sick pet care, and urgent care, emphasizing a low-stress, personalized approach grounded in nutritional therapy and individualized patient experiences. The independent, locally owned hospital prioritizes compassionate care and community engagement over corporate consolidation.",,,,36.160089,-115.1723615,vegaspet-animal-hospital-las-vegas-nevada,,,4.9,88,ChIJvXn00XvDyIARYFQzUhaPJRQ,https://www.google.com/maps/search/?api=1&query=VegasPet%20Animal%20Hospital&query_place_id=ChIJvXn00XvDyIARYFQzUhaPJRQ
